p_connection,size,ratio_mean,lower_bound,upper_bound
0.2,50,0.38110686118608006,0.35642716340746966,0.4062419447484268
0.2,60,0.38304385972214405,0.36053545037178,0.4078443208266545
0.2,70,0.385771242406654,0.36128169442416513,0.4103996630314825
0.2,80,0.3842701011426844,0.3633629794135569,0.406922978625729
0.2,90,0.3868989752971491,0.3654672701738585,0.40787268323982345
0.2,100,0.38751003861739647,0.36670522612529816,0.4099499530407579
0.2,110,0.38735684569617157,0.3669889019976475,0.41063067681178683
0.2,120,0.3891410992431762,0.3698144259304016,0.40909871898336797
0.2,130,0.3887255331740303,0.3674159655590592,0.4092188273156616
0.2,140,0.39064783876563547,0.36928945092463267,0.4141832425835162
0.2,150,0.39276198331805867,0.37364920510241006,0.4139799018768356
0.25,50,0.3583076121272332,0.3351265005349209,0.38296646161074444
0.25,60,0.3610109040254737,0.3371686905725949,0.38594273329585954
0.25,70,0.35857630754153436,0.338191004615529,0.37853957807500604
0.25,80,0.3622878441978949,0.341750284613959,0.3816701761807318
0.25,90,0.3646270330983299,0.342690354414796,0.3874788577953423
0.25,100,0.36397844268119867,0.3434012115542505,0.3837853543460615
0.25,110,0.3657296676280948,0.3441464569553244,0.38611819342794174
0.25,120,0.3640478029274186,0.34498972229457375,0.38451492990499037
0.25,130,0.36489639168391597,0.34626838483221967,0.3834159569653543
0.25,140,0.3651392884536195,0.34387087503185815,0.385874277733601
0.25,150,0.3674302939679016,0.3495375304361254,0.38653186368257164
0.3,50,0.33817265633788784,0.3169270694986389,0.3575358413220186
0.3,60,0.33902039130497796,0.31775491597669586,0.36051620679938917
0.3,70,0.33990097472209263,0.3196974604425958,0.35811296876507326
0.3,80,0.344098112146324,0.3248622943759898,0.36104608417312406
0.3,90,0.34262768154627044,0.3223887204413558,0.36115613056687396
0.3,100,0.34493930887175156,0.3254726497858668,0.3650484224493017
0.3,110,0.3460667978432805,0.32489965077757665,0.3665224240107207
0.3,120,0.3462505641062887,0.32703696958563006,0.3630749527275962
0.3,130,0.3465734293936913,0.3283324337662489,0.36424442077462105
0.3,140,0.3450039888697083,0.3277060751629416,0.3637124122104851
0.3,150,0.3488262034422787,0.33122140559733304,0.3683364594755818
0.35,50,0.3215547847786621,0.30113466935287736,0.34377103565688505
0.35,60,0.32272134721952445,0.3031968279050673,0.34277401968914534
0.35,70,0.32333520464667004,0.3039535096390148,0.3440473336315208
0.35,80,0.3248796297464046,0.3064270764292093,0.34260446050418847
0.35,90,0.3270261038188621,0.3088584837750434,0.34598729076813406
0.35,100,0.32715994728477066,0.30881401629453137,0.3463203419413973
0.35,110,0.32819117822995725,0.30992170527799484,0.34491324662009315
0.35,120,0.32865579494279745,0.3137717349100907,0.3457371108676485
0.35,130,0.3278879077617208,0.31235096414948077,0.34360590807871694
0.35,140,0.3296691052149714,0.313512018089984,0.3472483564440446
0.35,150,0.3331343051166871,0.31633993668664734,0.35101605620359744
0.39999999999999997,50,0.3068902205495602,0.2890092500234966,0.3242492081232877
0.39999999999999997,60,0.30825253988437784,0.28999629323234466,0.32550891414018646
0.39999999999999997,70,0.30927773736705866,0.2917002016482027,0.3265520515966597
0.39999999999999997,80,0.3098278920861927,0.29320303718014573,0.3252115106375581
0.39999999999999997,90,0.31232815053624763,0.2950843443063745,0.32863911248206207
0.39999999999999997,100,0.31154538691727834,0.29474182011074984,0.3292591081626885
0.39999999999999997,110,0.3131686416448898,0.29742059167545487,0.329085907849604
0.39999999999999997,120,0.3146042480050123,0.2979596622411306,0.33100755237628376
